
is_fine: 0; producer_count: 1; multi_threads_count: 40; matrix_size:40; > 171
is_fine: 0; producer_count: 2; multi_threads_count: 40; matrix_size:40; > 171
is_fine: 0; producer_count: 3; multi_threads_count: 40; matrix_size:40; > 161
is_fine: 0; producer_count: 4; multi_threads_count: 40; matrix_size:40; > 182
is_fine: 0; producer_count: 5; multi_threads_count: 40; matrix_size:40; > 178
is_fine: 0; producer_count: 6; multi_threads_count: 40; matrix_size:40; > 160
is_fine: 0; producer_count: 7; multi_threads_count: 40; matrix_size:40; > 163
is_fine: 0; producer_count: 8; multi_threads_count: 40; matrix_size:40; > 162
is_fine: 0; producer_count: 9; multi_threads_count: 40; matrix_size:40; > 163
is_fine: 0; producer_count: 10; multi_threads_count: 40; matrix_size:40; > 164
is_fine: 0; producer_count: 11; multi_threads_count: 40; matrix_size:40; > 167
is_fine: 0; producer_count: 12; multi_threads_count: 40; matrix_size:40; > 173
is_fine: 0; producer_count: 13; multi_threads_count: 40; matrix_size:40; > 186
is_fine: 0; producer_count: 14; multi_threads_count: 40; matrix_size:40; > 190
is_fine: 0; producer_count: 15; multi_threads_count: 40; matrix_size:40; > 190
is_fine: 0; producer_count: 16; multi_threads_count: 40; matrix_size:40; > 188
is_fine: 0; producer_count: 17; multi_threads_count: 40; matrix_size:40; > 193
is_fine: 0; producer_count: 18; multi_threads_count: 40; matrix_size:40; > 195
is_fine: 0; producer_count: 19; multi_threads_count: 40; matrix_size:40; > 190
is_fine: 0; producer_count: 20; multi_threads_count: 40; matrix_size:40; > 211
is_fine: 0; producer_count: 21; multi_threads_count: 40; matrix_size:40; > 201
is_fine: 0; producer_count: 22; multi_threads_count: 40; matrix_size:40; > 217
is_fine: 0; producer_count: 23; multi_threads_count: 40; matrix_size:40; > 225
is_fine: 0; producer_count: 24; multi_threads_count: 40; matrix_size:40; > 220
is_fine: 0; producer_count: 25; multi_threads_count: 40; matrix_size:40; > 195
is_fine: 0; producer_count: 26; multi_threads_count: 40; matrix_size:40; > 218
is_fine: 0; producer_count: 27; multi_threads_count: 40; matrix_size:40; > 239
is_fine: 0; producer_count: 28; multi_threads_count: 40; matrix_size:40; > 239
is_fine: 0; producer_count: 29; multi_threads_count: 40; matrix_size:40; > 244
is_fine: 0; producer_count: 30; multi_threads_count: 40; matrix_size:40; > 242
is_fine: 0; producer_count: 31; multi_threads_count: 40; matrix_size:40; > 242
is_fine: 0; producer_count: 32; multi_threads_count: 40; matrix_size:40; > 241
is_fine: 0; producer_count: 33; multi_threads_count: 40; matrix_size:40; > 235
is_fine: 0; producer_count: 34; multi_threads_count: 40; matrix_size:40; > 241
is_fine: 0; producer_count: 35; multi_threads_count: 40; matrix_size:40; > 244
is_fine: 0; producer_count: 36; multi_threads_count: 40; matrix_size:40; > 257
is_fine: 0; producer_count: 37; multi_threads_count: 40; matrix_size:40; > 242
is_fine: 0; producer_count: 38; multi_threads_count: 40; matrix_size:40; > 252
is_fine: 0; producer_count: 39; multi_threads_count: 40; matrix_size:40; > 252
is_fine: 0; producer_count: 40; multi_threads_count: 40; matrix_size:40; > 241
is_fine: 0; producer_count: 41; multi_threads_count: 40; matrix_size:40; > 251
is_fine: 0; producer_count: 42; multi_threads_count: 40; matrix_size:40; > 279
is_fine: 0; producer_count: 43; multi_threads_count: 40; matrix_size:40; > 275
is_fine: 0; producer_count: 44; multi_threads_count: 40; matrix_size:40; > 257
is_fine: 0; producer_count: 45; multi_threads_count: 40; matrix_size:40; > 287
is_fine: 0; producer_count: 46; multi_threads_count: 40; matrix_size:40; > 267
is_fine: 0; producer_count: 47; multi_threads_count: 40; matrix_size:40; > 277
is_fine: 0; producer_count: 48; multi_threads_count: 40; matrix_size:40; > 273
is_fine: 0; producer_count: 49; multi_threads_count: 40; matrix_size:40; > 275
is_fine: 0; producer_count: 50; multi_threads_count: 40; matrix_size:40; > 312

is_fine: 0; producer_count: 50; multi_threads_count: 40; matrix_size:40; > 312

is_fine: 1; producer_count: 1; multi_threads_count: 40; matrix_size:40; > 176
is_fine: 1; producer_count: 2; multi_threads_count: 40; matrix_size:40; > 177
is_fine: 1; producer_count: 3; multi_threads_count: 40; matrix_size:40; > 147
is_fine: 1; producer_count: 4; multi_threads_count: 40; matrix_size:40; > 142
is_fine: 1; producer_count: 5; multi_threads_count: 40; matrix_size:40; > 139
is_fine: 1; producer_count: 6; multi_threads_count: 40; matrix_size:40; > 139
is_fine: 1; producer_count: 7; multi_threads_count: 40; matrix_size:40; > 138
is_fine: 1; producer_count: 8; multi_threads_count: 40; matrix_size:40; > 137
is_fine: 1; producer_count: 9; multi_threads_count: 40; matrix_size:40; > 144
is_fine: 1; producer_count: 10; multi_threads_count: 40; matrix_size:40; > 142
is_fine: 1; producer_count: 11; multi_threads_count: 40; matrix_size:40; > 136
is_fine: 1; producer_count: 12; multi_threads_count: 40; matrix_size:40; > 141
is_fine: 1; producer_count: 13; multi_threads_count: 40; matrix_size:40; > 149
is_fine: 1; producer_count: 14; multi_threads_count: 40; matrix_size:40; > 152
is_fine: 1; producer_count: 15; multi_threads_count: 40; matrix_size:40; > 147
is_fine: 1; producer_count: 16; multi_threads_count: 40; matrix_size:40; > 157
is_fine: 1; producer_count: 17; multi_threads_count: 40; matrix_size:40; > 144
is_fine: 1; producer_count: 18; multi_threads_count: 40; matrix_size:40; > 117
